"【提出修改建議 template】 This translation is culturally inappropriate. The correct Traditional Chinese translation should be _____. I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).  ",,,,,,,↙↓超連結及提出建議欄均已格式化，不須手動填入，可直接選取上方列然後點兩下右下角藍點來自動填入或是複製→選擇性貼上→僅貼上公式
Eng/外文,台灣用語,中國用語/其他,google翻譯狀態,類型,google 超連結,Google Translate Result (EN to zh-tw),方便回報複製用
waitress,女服務生 ,女服務員,未改,日常用語,waitress,小姐,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""女服務生 "". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
webcam,網路攝影機,攝像頭,未改,科技術語,webcam,攝像頭,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""網路攝影機"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Work from home,在家工作,在家里工作,未改,日常用語,Work from home,在家里工作,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""在家工作"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Workout,健身,鍛鍊,未改,運動,Workout,鍛煉,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""健身"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
yogurt,優酪乳 / 優格,酸奶,未改,食品/動植物,yogurt,酸奶,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""優酪乳 / 優格"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
zener diode,稽納二極體,齊納二極管,未改,科技術語,zener diode,齊納二極管,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""稽納二極體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
koala,無尾熊,考拉,未改,食品/動植物,koala,考拉,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""無尾熊"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
info,訊息,信息,未改,日常用語,info,信息,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""訊息"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
power supply module,電源模組,電源模塊,未改,科技術語,power supply module,電源模塊,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""電源模組"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
logic gate,邏輯閘,邏輯門,未改,科技術語,logic gate,邏輯門,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""邏輯閘"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
and gate,和閘,和門,未改,科技術語,and gate,和門,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""和閘"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
or gate,或閘,或門,未改,科技術語,or gate,或門,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""或閘"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
flash driver,閃存驅動器,閃光驅動器,未改,科技術語,flash driver,閃光驅動器,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""閃存驅動器"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
ROM,唯讀記憶體,只讀存儲器,未改,科技術語,ROM,只讀存儲器,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""唯讀記憶體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
shield,遮蔽,屏蔽,未改,日常用語,shield,屏蔽,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""遮蔽"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
RAM,隨機存取記憶體,內存,未改,科技術語,RAM,內存,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""隨機存取記憶體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
peripheral,外圍設備,外設,未改,科技術語,peripheral,外圍設備,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""外圍設備"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
temperature module,溫度模組,溫度模塊,未改,科技術語,temperature module,溫度模塊,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""溫度模組"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
humidity module,濕度模組,濕度模塊,未改,科技術語,humidity module,濕度模塊,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""濕度模組"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
ultrasonic module,超音波模組,超音波模塊,未改,科技術語,ultrasonic module,超聲波模塊,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""超音波模組"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
flyback converter,反馳式轉換器,反激轉換器,未改,科技術語,flyback converter,反激轉換器,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""反馳式轉換器"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
compact disk,光碟,光盤,未改,科技術語,compact disk,光盤,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""光碟"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
reply,回覆,回复,未改,日常用語,reply,回复,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""回覆"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
marker pen,馬克筆,記號筆,未改,物品,marker pen,記號筆,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""馬克筆"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
missile,飛彈,導彈,未改,科技術語,missile,導彈,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""飛彈"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
dodge,閃避,躲閃,未改,日常用語,dodge,躲閃,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""閃避"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
mass,質量,大眾,未改,科技術語,mass,塊,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""質量"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
plastic,塑膠,塑料,未改,日常用語,plastic,塑料,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""塑膠"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
text,正文 / 本文 / 文字,文本,未改,日常用語,text,文本,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""正文 / 本文 / 文字"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
file,檔案,文件,未改,日常用語,file,文件,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""檔案"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
achieve,達到 / 達成,實現,未改,日常用語,achieve,實現,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""達到 / 達成"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
compatibility,相容性,兼容性,未改,科技術語,compatibility,兼容性,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""相容性"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
log-in,登入,登錄,未改,科技術語,log-in,登錄,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""登入"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
hologram,全像投影,全息照相?,未改,科技術語,hologram,全息照相,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""全像投影"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
project,專案 / 計畫,項目,未改,日常用語,project,項目,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""專案 / 計畫"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
world wide web (www),全球資訊網,萬維網,未改,日常用語,world wide web (www),萬維網（WWW）,
programmable,可程式化,可編程,未改,科技術語,programmable,可編程的,
FPGA,現場可程式化邏輯閘陣列,現場可編程門陣列,未改,科技術語,FPGA,FPGA,
waveform generator,波型產生器,波形發生器,未改,物品,waveform generator,波形發生器,
digital camera,數位相機,數碼相機,未改,物品,digital camera,數碼相機,
DSLR,數位單反相機,數碼單反相機,未改,物品,DSLR,DSLR,
VHD,超高畫質,超高清,未改,科技術語,VHD,VHD,
VLSI,超大規模積體電路,超大規模集成電路,未改,科技術語,VLSI,VLSI,
LSI,大規模積體電路,大規模集成電路,未改,科技術語,LSI,LSI,
IC,積體電路,集成電路,未改,科技術語,IC,我知道了,
serial port,串列埠,串行端口,未改,科技術語,serial port,串行端口,
serial ports,串列埠,串口,未改,科技術語,serial ports,串口,
set to,設定,設置,未改,科技術語,set to,設置,
render,算圖,渲染,未改,科技術語,render,渲染,
,,,,日常用語,,,
security context,安全性本文,安全上下文,未改,科技術語,security context,安全上下文,
disk partition,磁碟分割,磁盤分區,未改,科技術語,disk partition,磁盤分區,
file system,檔案系統,文件系統,未改,科技術語,file system,文件系統,
disk,磁碟,磁盤,未改,科技術語,disk,磁盤,
cluster size,叢集大小,簇大小,未改,科技術語,cluster size,簇的大小,
partition table,分割表,分區表,未改,科技術語,partition table,分區表,
GUID Partition Table,GUID磁碟分割表,全局唯一標識分區表,未改,科技術語,GUID Partition Table,GUID分區表,
port,連接埠,端口,未改,科技術語,port,港口,
storage,儲存裝置,存儲,未改,科技術語,storage,存儲,
apply,套用,應用,未改,科技術語,apply,應用,
variable,變數,變量,未改,科技術語,variable,變量,
environment variable,環境變數,環境變量,未改,科技術語,environment variable,環境變量,
create,建立,創建,未改,科技術語,create,創建,
folder,資料夾,文件夾,未改,科技術語,folder,夾,
create folder,建立資料夾,創建文件夾,未改,科技術語,create folder,創建文件夾,
mobile device,行動裝置,移動設備,未改,科技術語,mobile device,移動設備,
big data,巨量資料,大數據,未改,科技術語,big data,大數據,
linux kernel,Linux核心,Linux內核,未改,科技術語,linux kernel,Linux內核,
rename,重新命名,重命名,未改,科技術語,rename,改名,
rename file,重新命名檔案,重命名文件,未改,科技術語,rename file,重新命名文件,
metadata,中繼資料,元數據,未改,科技術語,metadata,元數據,
noise,雜訊,噪聲,未改,科技術語,noise,噪聲,
support,支援,支持,未改,科技術語,support,支持,
font,字型,字體,未改,科技術語,font,字形,
module,模組,模塊,未改,科技術語,module,模,
disable,停用,禁用,未改,科技術語,disable,關閉,
run,執行,運行,未改,科技術語,run,跑,
run program,執行程式,運行程序,未改,科技術語,run program,運行程序,
hardcode,寫死,硬編碼,未改,科技術語,hardcode,硬編碼,
read only,唯讀,只讀,未改,科技術語,read only,只讀,
